Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
torso,-0.00543338434417006,0.000108216975895136,0.140579143595961,0,0,0,6.28790299876573,0.0191346724281876,-3.1695063079597E-06,7.97289686406473E-05,0.0112510689247493,-1.42350864706556E-05,0.0182022530669084,0,0,0,0,0,0,package://biped_s5/meshes/torso.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_s5/meshes/torso.STL,,torso-2,torso,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_leg_roll,-0.00595042056281428,3.28534542545778E-06,-0.00697330263967055,0,0,0,0.631264919782581,0.000587248462350835,-1.59673479401349E-07,-7.95556415416988E-06,0.000800119060819202,-3.01979613271257E-08,0.00125762525969248,0,0,0,0,0,0,package://biped_s5/meshes/r_leg_roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_s5/meshes/r_leg_roll.STL,,r_leg_roll-1,r_leg_roll_yaw,r_leg_roll_axis,r_leg_roll,continuous,-0.00250000000035087,-0.0870000000000446,-0.066000000004924,0,0,0,torso,-1,0,0,,,,,,,,,,,,
r_leg_yaw,9.43889951442178E-09,-0.00554736297978164,-0.0551006082045652,0,0,0,0.155089158958621,0.000170278447219693,1.47123333326115E-08,-8.90880291940141E-09,0.000150088002194289,8.16192145960013E-07,0.000146291388577554,0,0,0,0,0,0,package://biped_s5/meshes/r_leg_yaw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_s5/meshes/r_leg_yaw.STL,,r_leg_yaw-1,r_leg_roll_yaw,r_leg_yaw_axis,r_leg_yaw,continuous,0,0,0,0,0,0,r_leg_roll,0,0,1,,,,,,,,,,,,
r_leg_pitch,0.00726220523446359,-0.002823829184808,-0.10301856798087,0,0,0,1.23414044301716,0.0108200967040565,-4.59376637229703E-05,0.00118563211354755,0.0125989412627118,0.000279618799393834,0.00220305663638661,0,0,0,0,0,0,package://biped_s5/meshes/r_leg_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_s5/meshes/r_leg_pitch.STL,,r_leg_pitch-1,r_leg_pitch,r_leg_pitch_axis,r_leg_pitch,continuous,0,0,-0.125000000000001,0,0,0,r_leg_yaw,0,1,0,,,,,,,,,,,,
r_knee,0.00114478713288289,0.00015085717879465,-0.172234696219894,0,0,0,0.492081116768875,0.00536823957167446,-2.23779727410624E-07,-8.68433497243911E-05,0.00554716033276625,-7.33881773534714E-06,0.00023550351182021,0,0,0,0,0,0,package://biped_s5/meshes/r_knee.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_s5/meshes/r_knee.STL,,r_knee-1,r_knee,r_knee_axis,r_knee,continuous,0.0419999999999999,0,-0.371446748811989,0,0,0,r_leg_pitch,0,-1,0,,,,,,,,,,,,
r_foot_pitch,-2.20869654975198E-07,2.20870146810936E-07,4.44089209850063E-16,0,0,0,8.99190449289537E-06,8.65317607419045E-10,-4.38657646635503E-19,-3.49395618891317E-14,8.65317607419045E-10,-3.447500777446E-14,1.52218316128676E-09,0,0,0,0,0,0,package://biped_s5/meshes/r_foot_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://biped_s5/meshes/r_foot_pitch.STL,,r_foot_pitch-1,r_foot_pitch_roll,r_foot_pitch_axis,r_foot_pitch,continuous,0,0,-0.445999999999999,0,0,0,r_knee,0,1,0,,,,,,,,,,,,
r_foot_roll,-0.00253560414136999,8.23854037115823E-06,-0.0377214649834521,0,0,0,0.19086980245772,0.000124764742478312,-2.08372197394019E-08,5.85764784216475E-06,0.000552202126631586,-1.48804312214361E-08,0.000647202029682914,0,0,0,0,0,0,package://biped_s5/meshes/r_foot_roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_s5/meshes/r_foot_roll.STL,,r_foot_roll-1,r_foot_pitch_roll,r_foot_roll_axis,r_foot_roll,continuous,0,0,0,0,0,0,r_foot_pitch,-1,0,0,,,,,,,,,,,,
r_l_bar,-0.016688087961719,0.0076241912885387,0.00446702228828433,0,0,0,0.0240678380950094,3.76441261728869E-06,-1.60351245171018E-06,2.75531232497998E-06,1.63386673714102E-05,4.29427169376852E-07,1.33157624817472E-05,0,0,0,0,0,0,package://biped_s5/meshes/r_l_bar.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://biped_s5/meshes/r_l_bar.STL,,r_l_bar-1,r_l_bar,r_l_bar_axis,r_l_bar,continuous,0,0.0249999999999996,-0.089999999999998,0,0,0,r_knee,0,1,0,,,,,,,,,,,,
r_l_tendon,-3.38743561054573E-05,-5.48291626958144E-05,-0.182365822114472,0,0,0,0.0381281229833487,0.000364218805685306,-1.04791584212972E-11,-6.99581914178355E-08,0.000363638708857047,-5.87413433425947E-08,1.34783664470708E-06,0,0,0,0,0,0,package://biped_s5/meshes/r_l_tendon.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_s5/meshes/r_l_tendon.STL,,r_l_tendon-4,r_l_tendon,r_l_tendon_axis,r_l_tendon,continuous,-0.0560267810612721,0,0.0149999934637293,0,0,0,r_l_bar,0,-1,0,,,,,,,,,,,,
r_r_bar,-0.016687640424117,-0.00762419483038657,0.00446861619310002,0,0,0,0.0240678597868973,3.76382096519523E-06,1.60357441586418E-06,2.75428206064885E-06,1.63386822509857E-05,-4.2920394890412E-07,1.33163697724618E-05,0,0,0,0,0,0,package://biped_s5/meshes/r_r_bar.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://biped_s5/meshes/r_r_bar.STL,,r_r_bar-1,r_r_bar,r_r_bar_axis,r_r_bar,continuous,0,-0.0250000000000025,-0.155000000000001,0,0,0,r_knee,0,-1,0,,,,,,,,,,,,
