Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0772110115185622,0.00365409160309633,0.0684731367019287,0,0,0,3.14909562494046,0.0115327530086025,-4.91965547401491E-05,-9.61237798229481E-06,0.00822021316839577,6.05399233176399E-06,0.016486975549798,0,0,0,0,0,0,package://nz/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nz/meshes/base_link.STL,,前置装甲板固定-4mm-1;车身-前置电机固定-4mm-1;前置装甲板支架加强-2;GO-M8010-6电机3D模型-1;宇树电机后端垫片-3;宇树电机后端垫片-2;宇树电机后端垫片-1;宇树电机后端垫片-4;GO-M8010-6电机3D模型-2;悬挂-1/悬挂固定-4mm-1;悬挂-1/避震器——主体-2;悬挂-1/避震器——53长弹簧-2;悬挂-1/小胶轮-1;悬挂-1/避震器——帽子-2;悬挂-1/避震器——53长弹簧-1;悬挂-1/避震器——帽子-1;悬挂-1/避震器——主体-1;悬挂-1/全向轮法兰轴承-1;悬挂-1/全向轮法兰轴承-2;悬挂-1/8840角接-1;悬挂-2/8840角接-1;悬挂-2/悬挂固定-4mm-1;悬挂-2/全向轮法兰轴承-1;悬挂-2/避震器——53长弹簧-1;悬挂-2/避震器——53长弹簧-2;悬挂-2/避震器——主体-2;悬挂-2/避震器——帽子-2;悬挂-2/小胶轮-1;悬挂-2/避震器——帽子-1;悬挂-2/避震器——主体-1;悬挂-2/全向轮法兰轴承-2;腿侧装甲板固定-4mm-3;底盘上盖板-1;上限位-打印-2;上限位-4mm-2;把手-2;把手-1;车身-后置固定-1;后侧装甲板防撞支柱-2;悬挂-3/8840角接-1;悬挂-3/悬挂固定-4mm-1;悬挂-3/全向轮法兰轴承-1;悬挂-3/避震器——53长弹簧-2;悬挂-3/避震器——主体-2;悬挂-3/避震器——帽子-2;悬挂-3/小胶轮-1;悬挂-3/避震器——帽子-1;悬挂-3/避震器——53长弹簧-1;悬挂-3/避震器——主体-1;悬挂-3/全向轮法兰轴承-2;底盘下盖板-4mm-1;悬挂-4/避震器——主体-2;悬挂-4/避震器——53长弹簧-2;悬挂-4/避震器——帽子-2;悬挂-4/小胶轮-1;悬挂-4/避震器——53长弹簧-1;悬挂-4/避震器——主体-1;悬挂-4/避震器——帽子-1;后侧装甲板防撞支柱-1;悬挂-4/悬挂固定-4mm-1;悬挂-4/8840角接-1;悬挂-4/全向轮法兰轴承-1;悬挂-4/全向轮法兰轴承-2;前置横滚髋关节法兰轴承-截取-4;前置横滚髋关节法兰轴承-截取-3;上限位-打印-1;上限位-4mm-1;腿侧装甲板固定-4mm-2;下限位-打印-2;下限位-4mm-2;前置横滚髋关节法兰轴承-11;前置横滚髋关节法兰轴承-10;下限位-4mm-1;下限位-打印-1;TB48电池及电池架-1/RoboMaster 电池架-1;TB48电池及电池架-1/TB47S电池-1;24V降19V-1;8840角接-25;8840角接-29;8840角接-26;8840角接-31;8840角接-32;8840角接-30;8840角接-28;8840角接-27,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_link,-0.129913458293491,-0.0178191935412482,7.59898297969542E-05,0,0,0,1.53156677813567,0.00109911180203944,1.76140192646128E-08,-1.08189969894798E-05,0.00240312543946529,3.27261149674924E-08,0.00168539314316097,0,0,0,0,0,0,package://nz/meshes/left_hip_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nz/meshes/left_hip_link.STL,,横滚髋关节固定-电机端-1;前置横滚髋关节法兰轴承-截取-5;06B链条-1;主动链轮-4mm-3;DM 8009 外形尺寸 23030517-6/DM 8009 外形尺寸 23030517.STEP-1/DM 8116 __________.STEP-1;主动链轮输出支撑-3;达妙交叉滚子-3;8009深沟球支撑-4mmx2-5;小腿8009固定-3;8009深沟球支撑-4mmx2-6;8009固定-螺母-3mm-3;8009-固定沉孔-2mm-3;从动链轮-4mm-3;8009连杆支撑-3;DM 8009 外形尺寸 23030517-5/DM 8009 外形尺寸 23030517.STEP-1/DM 8116 __________.STEP-1;8009底座-4mm-3;8840角接-18;8840角接-24;8840角接-17;8840角接-22;8840角接-19;8840角接-21;8009输出面-4mm-5;8840角接-23;8840角接-20;横滚髋关节固定-4mm-3;前置横滚髋关节法兰轴承-截取-2;从动链轮支撑-3;大腿-垫片-4mmx2-5;大腿-垫片-4mmx2-6;DM 8009 外形尺寸 23030517-5/DM 8009 外形尺寸 23030517.STEP-1/DM 8116 ________.STEP-1;DM 8009 外形尺寸 23030517-6/DM 8009 外形尺寸 23030517.STEP-1/DM 8116 ________.STEP-1,left_hip,left_hip_joint,left_hip_joint,fixed,0.15125,0.1033,0.074,-0.00073018,0,0,base_link,0,0,0,23.6,0,-0.31416,0.31416,,,,,,,,
left_thigh_link,-0.0488434597921626,0.00969818146991977,-0.0820338494792314,0,0,0,0.121563731363725,0.000275949329623245,-1.66909020988833E-18,-0.000116802518675562,0.00035724267626727,-3.8495692463029E-18,8.24686407734072E-05,0,0,0,0,0,0,package://nz/meshes/left_thigh_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nz/meshes/left_thigh_link.STL,,8009连杆-5mm-1;大腿-8mm-3;板材连杆（备选方案）-3;膝关节交叉滚子轴承-3;小腿垫片-2mm-3,left_thight,left_thight_joint,left_thigh_joint,continuous,-0.176,0.030301,0,0,0,0,left_hip_link,0,0,1,40,0,-1.0472,0.5236,,,,,,,,
left_calf_link,0.16973424946336,0.00232413112260152,0.0454857130793686,0,0,0,0.287565167701966,0.000154172574378265,1.57680673728341E-08,-0.000175691265722531,0.000905802350545085,-6.30907190750889E-10,0.000762803653361486,0,0,0,0,0,0,package://nz/meshes/left_calf_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nz/meshes/left_calf_link.STL,,小腿-10mm-5;小米电机-3;车轮连接-3,left_calf,left_calf_joint,left_calf_joint,continuous,-0.074709,0.018,-0.16376,0,0,0,left_thigh_link,0,0,1,40,0,-1.3963,0,,,,,,,,
left_wheel_link,-2.95235502711932E-11,0.0134999704617854,1.47686862739249E-11,0,0,0,0.440514867448166,0.000891368447482843,-2.39418469899192E-13,-7.73935273575955E-12,0.00165284876799871,1.19818643211851E-13,0.000891368440948064,0,0,0,0,0,0,package://nz/meshes/left_wheel_link.STL,0.376470588235294,0.376470588235294,0.376470588235294,1,0,0,0,0,0,0,package://nz/meshes/left_wheel_link.STL,,蜂窝轮_6寸（直径152mm）-3,left_wheel,left_wheel_joint,left_wheel_joint,continuous,0.20864,0.027,0.055905,0,0,0,left_calf_link,0,0,1,12,0,,,,,,,,,,
left_knee_link,5.44590350487484E-05,1.17713143685805E-05,-5.61706548485308E-06,0,0,0,0.0600837273647139,1.13779138834058E-05,4.11771706377624E-08,5.11346069404052E-08,1.95073379760213E-05,3.50024466008379E-08,1.13658641872915E-05,0,0,0,0,0,0,package://nz/meshes/left_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://nz/meshes/left_knee_link.STL,,全向轮法兰轴承-5;60mm全向轮_包边(Omini A)系列(客户图）-3;全向轮法兰轴承-6,坐标系1,基准轴1,left_knee_wheel_joint,continuous,-0.048296,0.02265,-0.012941,0,0,0,left_calf_link,0,1,0,12,0,0,0,,,,,,,,
right_hip_link,-0.12914218220028,0.0176739637017305,0.00105196820752493,0,0,0,1.53156677813567,0.00109911817282287,1.76140192639695E-08,-1.06840928383502E-05,0.00240312543973873,-3.27709252116799E-08,0.0016853867721041,0,0,0,0,0,0,package://nz/meshes/right_hip_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://nz/meshes/right_hip_link.STL,,06B链条-2;主动链轮-4mm-2;从动链轮-4mm-2;达妙交叉滚子-2;从动链轮支撑-2;8009深沟球支撑-4mmx2-3;8009深沟球支撑-4mmx2-4;8009-固定沉孔-2mm-2;8009固定-螺母-3mm-2;小腿8009固定-2;8009输出面-4mm-6;大腿-垫片-4mmx2-4;大腿-垫片-4mmx2-3;主动链轮输出支撑-2;DM 8009 外形尺寸 23030517-4/DM 8009 外形尺寸 23030517.STEP-1/DM 8116 __________.STEP-1;DM 8009 外形尺寸 23030517-3/DM 8009 外形尺寸 23030517.STEP-1/DM 8116 __________.STEP-1;8840角接-16;横滚髋关节固定-4mm-4;前置横滚髋关节法兰轴承-截取-1;8840角接-13;8840角接-11;8840角接-15;8009底座-4mm-2;横滚髋关节固定-电机端-2;8840角接-12;8840角接-10;8840角接-14;8840角接-9;前置横滚髋关节法兰轴承-截取-6;8009连杆支撑-2;DM 8009 外形尺寸 23030517-3/DM 8009 外形尺寸 23030517.STEP-1/DM 8116 ________.STEP-1;DM 8009 外形尺寸 23030517-4/DM 8009 外形尺寸 23030517.STEP-1/DM 8116 ________.STEP-1,right_hip,right_hip_joint,right_hip_joint,fixed,0.15125,-0.096698,0.074146,-0.00073018,0,0,base_link,0,0,0,23.6,0,0.31416,-0.31416,,,,,,,,
right_thigh_Link,-0.0506448629787332,-0.00635154610052269,-0.0843417759624508,0,0,0,0.0861971916017647,0.000271488226488,-1.47522656727639E-18,-0.000115035377169306,0.00034242590276731,-3.3945993074316E-18,7.18860051301923E-05,0,0,0,0,0,0,package://nz/meshes/right_thigh_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nz/meshes/right_thigh_Link.STL,,大腿-8mm-2;板材连杆（备选方案）-2;橡胶垫(限位)-4,right_thight,right_thight_joint,right_thigh_joint,continuous,-0.176,-0.030251,0,0,0,0,right_hip_link,0,0,1,40,0,-1.0472,0.5236,,,,,,,,
right_calf_Link,0.169737034100335,-0.00232413115555213,0.0454753206356527,0,0,0,0.287565167405501,0.000154177201054866,-1.33400951263755E-08,-0.000175699279414137,0.000905802350513708,-8.43041205903332E-09,0.000762799026652924,0,0,0,0,0,0,package://nz/meshes/right_calf_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nz/meshes/right_calf_Link.STL,,小腿-10mm-4;小米电机-2;车轮连接-2,right_calf,right_calf_joint,right_calf_joint,continuous,-0.074709,-0.018,-0.16376,0,0,0,right_thigh_Link,0,0,1,40,0,-1.3963,0,,,,,,,,
right_knee_link,-2.24251046984092E-05,1.17685271968926E-05,4.9933180993611E-05,0,0,0,0.0600837204523566,1.14132078927059E-05,-5.09270082595439E-08,-3.06948633150206E-08,1.95073184879374E-05,1.80960480542862E-08,1.13305503968882E-05,0,0,0,0,0,0,package://nz/meshes/right_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://nz/meshes/right_knee_link.STL,,全向轮法兰轴承-4;全向轮法兰轴承-3;60mm全向轮_包边(Omini A)系列(客户图）-2,坐标系2,基准轴2,right_knee_wheel_joint,continuous,-0.048296,-0.02265,-0.012941,0,0,0,right_calf_Link,0,1,0,,,,,,,,,,,,
